Project,Method,ReleaseID,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,DistinctOperands,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,Buggy
bookkeeper,"void addComplete(int, LedgerHandle, long, Object)",master,7,5,2,1,1,6,1,6,7.0,7.0,19.651484454403228,0.5,9.825742227201614,1,0,0,0,0,yes
bookkeeper,"ByteBufAllocatorBuilder create()",master,3,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorWithOomHandler build()",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder pooledAllocator(ByteBufAllocator)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder unpooledAllocator(ByteBufAllocator)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder poolingPolicy(PoolingPolicy)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder poolingConcurrency(int)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder outOfMemoryPolicy(OutOfMemoryPolicy)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder outOfMemoryListener(Consumer<OutOfMemoryError>)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder leakDetectionPolicy(LeakDetectionPolicy)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder exitOnOutOfMemory(boolean)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void setOomHandler(Consumer<OutOfMemoryError>)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"LeakDetectionPolicy parseLevel(String)",master,11,9,2,1,0,11,0,15,11.0,15.0,51.89147427955947,0.0,0.0,1,0,0,0,0,no
bookkeeper,"ByteBufAllocatorWithOomHandler build()",master,5,2,1,0,0,8,0,8,8.0,8.0,24.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder pooledAllocator(ByteBufAllocator)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder unpooledAllocator(ByteBufAllocator)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder poolingPolicy(PoolingPolicy)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder poolingConcurrency(int)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder outOfMemoryPolicy(OutOfMemoryPolicy)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder outOfMemoryListener(Consumer<OutOfMemoryError>)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder leakDetectionPolicy(LeakDetectionPolicy)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBufAllocatorBuilder exitOnOutOfMemory(boolean)",master,5,3,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"ByteBuf buffer()",master,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBuf buffer(int)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBuf buffer(int, int)",master,8,6,2,1,1,7,1,9,8.0,10.0,30.0,0.6428571428571429,19.28571428571429,1,0,0,0,0,no
bookkeeper,"ByteBuf newHeapBuffer(int, int)",master,13,8,2,0,1,10,1,11,11.0,12.0,41.51317942364757,0.55,22.832248683006167,0,0,0,0,0,no
bookkeeper,"ByteBuf newDirectBuffer(int, int)",master,5,2,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ByteBuf newDirectBuffer(int, int, boolean)",master,29,25,3,2,2,14,3,26,16.0,29.0,116.0,1.8571428571428572,215.42857142857144,2,0,0,0,0,no
bookkeeper,"void consumeOOMError(OutOfMemoryError)",master,11,10,2,1,0,13,0,16,13.0,16.0,59.207035490257475,0.0,0.0,1,0,0,0,0,no
bookkeeper,"boolean isDirectBufferPooled()",master,4,2,1,0,2,3,2,4,5.0,6.0,13.931568569324174,1.3333333333333333,18.575424759098897,0,0,0,0,0,no
bookkeeper,"void setOomHandler(Consumer<OutOfMemoryError>)",master,4,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"void triggerImmediateForcefulShutdown(int)",master,3,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void triggerImmediateForcefulShutdown(int, boolean)",master,11,9,2,1,2,11,2,13,13.0,15.0,55.506595772116384,1.1818181818181819,65.59870409431937,1,0,0,0,0,no
bookkeeper,"void shutdownLogging()",master,11,8,2,1,1,7,1,9,8.0,10.0,30.0,0.6428571428571429,19.28571428571429,1,0,0,0,0,no
bookkeeper,"void triggerImmediateForcefulShutdown()",master,3,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"T dequeueOne()",master,13,10,3,2,4,9,6,14,13.0,20.0,74.00879436282185,3.111111111111111,230.24958246211241,1,0,0,0,0,no
bookkeeper,"void enqueueOne(T)",master,10,8,3,2,3,8,6,11,11.0,17.0,58.81033751683406,2.0625,121.29632112847025,1,0,0,0,0,no
bookkeeper,"T poll()",master,14,10,2,1,1,6,1,8,7.0,9.0,25.26619429851844,0.6666666666666666,16.844129532345626,1,0,0,0,0,no
bookkeeper,"T peek()",master,14,10,2,1,1,7,1,9,8.0,10.0,30.0,0.6428571428571429,19.28571428571429,1,0,0,0,0,no
bookkeeper,"boolean offer(T)",master,16,11,2,1,1,8,1,10,9.0,11.0,34.86917501586544,0.625,21.7932343849159,1,0,0,0,0,no
bookkeeper,"void put(T)",master,14,10,2,1,1,9,1,10,10.0,11.0,36.541209043760986,0.5555555555555556,20.300671690978326,1,0,0,0,0,no
bookkeeper,"int putAll(List<T>)",master,33,24,5,4,6,19,11,36,25.0,47.0,218.26124091941205,5.684210526315789,1240.6428431208685,2,0,0,0,0,no
bookkeeper,"void putAll(T[], int, int)",master,8,6,2,1,3,6,3,10,9.0,13.0,41.20902501875006,2.5,103.02256254687515,1,0,0,0,0,no
bookkeeper,"int internalPutAll(T[], int, int)",master,39,29,5,4,6,23,13,54,29.0,67.0,325.48472667354736,7.043478260869566,2292.5445965702033,1,0,0,0,0,no
bookkeeper,"boolean offer(T, long, TimeUnit)",master,20,15,3,2,3,16,3,19,19.0,22.0,93.45440529575887,1.78125,166.4656594330705,2,0,0,0,0,no
bookkeeper,"T take()",master,14,10,2,1,1,8,1,9,9.0,10.0,31.699250014423125,0.5625,17.83082813311301,1,0,0,0,0,no
bookkeeper,"T poll(long, TimeUnit)",master,19,14,3,2,3,14,3,17,17.0,20.0,81.7492568250068,1.8214285714285712,148.9004320741195,2,0,0,0,0,no
bookkeeper,"int remainingCapacity()",master,4,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"int drainTo(Collection<? super T>)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int drainTo(Collection<? super T>, int)",master,28,22,4,3,5,18,9,32,23.0,41.0,185.46604019833754,4.444444444444445,824.2935119926113,2,0,0,0,0,no
bookkeeper,"int takeAll(T[])",master,4,2,1,0,0,5,0,5,5.0,5.0,11.60964047443681,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int pollAll(T[], long, TimeUnit)",master,4,2,1,0,0,5,0,5,5.0,5.0,11.60964047443681,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int internalTakeAll(T[], boolean, long, TimeUnit)",master,45,36,7,6,8,26,13,70,34.0,83.0,422.2594158237782,10.76923076923077,4547.409093486843,3,0,0,0,0,no
bookkeeper,"void clear()",master,11,9,2,1,1,5,1,7,6.0,8.0,20.67970000576925,0.7,14.475790004038473,1,0,0,0,0,no
bookkeeper,"int size()",master,10,7,1,0,0,3,0,5,3.0,5.0,7.924812503605781,0.0,0.0,0,0,0,0,0,no
bookkeeper,"Iterator<T> iterator()",master,4,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void putAll(T[], int, int)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int takeAll(T[])",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int pollAll(T[], long, TimeUnit)",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void put(T)",master,9,6,3,2,1,4,1,4,5.0,5.0,11.60964047443681,0.5,5.804820237218405,2,0,0,0,0,no
bookkeeper,"boolean offer(T, long, TimeUnit)",master,18,11,4,3,3,12,3,14,15.0,17.0,66.41714012534482,1.75,116.22999521935343,2,0,0,0,0,no
bookkeeper,"T take()",master,18,13,4,3,2,10,2,12,12.0,14.0,50.18947501009619,1.2,60.22737001211542,3,0,0,0,0,no
bookkeeper,"T poll(long, TimeUnit)",master,23,18,5,4,4,16,4,21,20.0,25.0,108.04820237218406,2.625,283.62653122698316,3,0,0,0,0,no
bookkeeper,"int remainingCapacity()",master,4,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"int drainTo(Collection<? super T>)",master,8,5,1,0,1,5,1,8,6.0,9.0,23.264662506490403,0.8,18.611730005192324,0,0,0,0,0,no
bookkeeper,"int drainTo(Collection<? super T>, int)",master,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void putAll(T[], int, int)",master,6,4,2,1,3,6,3,8,9.0,11.0,34.86917501586544,2.0,69.73835003173087,1,0,0,0,0,no
bookkeeper,"int takeAll(T[])",master,15,10,3,2,6,7,9,15,13.0,24.0,88.81055323538621,6.428571428571429,570.9249850846256,1,0,0,0,0,no
bookkeeper,"int pollAll(T[], long, TimeUnit)",master,15,10,3,2,6,8,12,20,14.0,32.0,121.83535750584332,7.5,913.7651812938249,1,0,0,0,0,no
bookkeeper,"boolean keepRunning()",master,4,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"int idle(int)",master,5,3,1,0,1,3,1,3,4.0,4.0,8.0,0.5,4.0,0,0,0,0,0,no
bookkeeper,"int idle(int)",master,5,3,1,0,1,4,1,4,5.0,5.0,11.60964047443681,0.5,5.804820237218405,0,0,0,0,0,no
bookkeeper,"void onSpinWait()",master,9,7,2,1,1,3,1,4,4.0,5.0,10.0,0.6666666666666666,6.666666666666666,1,0,0,0,0,no
bookkeeper,"T remove()",master,9,6,2,1,1,3,1,4,4.0,5.0,10.0,0.6666666666666666,6.666666666666666,1,0,0,0,0,no
bookkeeper,"T poll()",master,20,15,2,1,5,13,6,22,18.0,28.0,116.75790004038474,4.230769230769231,493.9757309400893,1,0,0,0,0,no
bookkeeper,"T element()",master,9,6,2,1,1,3,1,4,4.0,5.0,10.0,0.6666666666666666,6.666666666666666,1,0,0,0,0,no
bookkeeper,"T peek()",master,14,11,2,1,1,10,1,11,11.0,12.0,41.51317942364757,0.55,22.832248683006167,1,0,0,0,0,no
bookkeeper,"boolean offer(T)",master,6,3,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void put(T)",master,22,17,3,2,7,18,10,27,25.0,37.0,171.8226790216648,5.25,902.0690648637402,1,0,0,0,0,no
bookkeeper,"boolean add(T)",master,5,3,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"boolean offer(T, long, TimeUnit)",master,6,3,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"T take()",master,16,11,4,3,2,9,3,12,11.0,15.0,51.89147427955947,1.3333333333333333,69.18863237274596,3,0,0,0,0,no
bookkeeper,"T poll(long, TimeUnit)",master,22,15,5,4,4,17,5,24,21.0,29.0,127.37720526058406,2.823529411764706,359.65328544164913,3,0,0,0,0,no
bookkeeper,"int remainingCapacity()",master,4,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int drainTo(Collection<? super T>)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int drainTo(Collection<? super T>, int)",master,21,15,2,1,6,20,8,30,26.0,38.0,178.61670928936152,4.5,803.7751918021269,1,0,0,0,0,no
bookkeeper,"void clear()",master,17,12,2,1,6,13,8,20,19.0,28.0,118.94197037642039,4.615384615384616,548.9629401988634,1,0,0,0,0,no
bookkeeper,"int size()",master,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"Iterator<T> iterator()",master,4,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"String toString()",master,31,22,3,2,7,20,7,38,27.0,45.0,213.9699375973561,6.6499999999999995,1422.900085022418,2,0,0,0,0,no
bookkeeper,"void expandArray()",master,24,16,1,0,3,20,6,37,23.0,43.0,194.51316411045156,2.7750000000000004,539.7740304065031,0,0,0,0,0,no
bookkeeper,"long exposeToAvoidOptimization()",master,3,2,1,0,1,7,6,7,8.0,13.0,39.0,0.5,19.5,0,0,0,0,0,no
bookkeeper,"RecyclableArrayList<X> newObject(Handle<RecyclableArrayList<X>>)",master,5,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"RecyclableArrayList<X> newInstance()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void recycle()",master,6,5,2,1,1,4,1,5,5.0,6.0,13.931568569324174,0.625,8.707230355827608,1,0,0,0,0,no
bookkeeper,"boolean equals(Object)",master,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int hashCode()",master,4,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"ConfT getConf()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"String getName()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void setExceptionHandler(UncaughtExceptionHandler)",master,4,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"StatsLogger getStatsLogger()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"Lifecycle.State lifecycleState()",master,4,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void addLifecycleListener(LifecycleListener)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void removeLifecycleListener(LifecycleListener)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void start()",master,20,18,3,2,2,17,2,25,19.0,27.0,114.6940428629768,1.4705882352941178,168.66771009261296,1,0,0,0,0,no
bookkeeper,"void doStart()",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void stop()",master,10,8,2,1,1,6,1,9,7.0,10.0,28.07354922057604,0.75,21.05516191543203,1,0,0,0,0,no
bookkeeper,"void doStop()",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void close()",master,17,15,3,2,1,13,1,17,14.0,18.0,68.53238859703687,0.6538461538461539,44.80963869806257,1,0,0,0,0,no
bookkeeper,"void doClose()",master,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"String getName()",master,4,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void setExceptionHandler(UncaughtExceptionHandler)",master,4,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,0,0,0,no
bookkeeper,"Lifecycle.State lifecycleState()",master,4,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void addLifecycleListener(LifecycleListener)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void removeLifecycleListener(LifecycleListener)",master,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
bookkeeper,"void start()",master,9,7,2,1,1,5,1,8,6.0,9.0,23.264662506490403,0.8,18.611730005192324,1,0,0,0,0,no
bookkeeper,"void stop()",master,9,7,2,1,1,5,1,8,6.0,9.0,23.264662506490403,0.8,18.611730005192324,1,0,0,0,0,no
bookkeeper,"void close()",master,17,15,3,2,1,14,1,18,15.0,19.0,74.23092131656186,0.6428571428571429,47.71987798921834,1,0,0,0,0,no
bookkeeper,"String getId()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"int getPort()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"String getHost()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"String getProtocol()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"List<String> getAuth()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"List<String> getExtensions()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"String toString()",master,5,2,1,0,1,15,14,15,16.0,29.0,116.0,0.5,58.0,0,0,0,0,0,no
bookkeeper,"void publishProperty(String, String)",master,12,10,3,2,1,14,3,23,15.0,26.0,101.57915548582149,0.8214285714285714,83.44002057763907,1,0,0,0,0,no
bookkeeper,"void publishEndpoint(EndpointInfo)",master,10,8,3,2,2,11,4,16,13.0,20.0,74.00879436282185,1.4545454545454546,107.64915543683178,1,0,0,0,0,no
bookkeeper,"Map<String, String> getProperties()",master,6,5,2,1,1,5,1,5,6.0,6.0,15.509775004326936,0.5,7.754887502163468,1,0,0,0,0,no
bookkeeper,"Map<String, EndpointInfo> getEndpoints()",master,6,5,2,1,1,5,1,5,6.0,6.0,15.509775004326936,0.5,7.754887502163468,1,0,0,0,0,no
bookkeeper,"void startupFinished()",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"void run()",master,13,10,1,0,0,15,0,25,15.0,25.0,97.67226489021297,0.0,0.0,0,0,0,0,0,no
bookkeeper,"CompletableFuture<Void> startComponent(LifecycleComponent)",master,26,14,1,0,0,22,0,37,22.0,37.0,164.99896988958,0.0,0.0,0,0,0,0,0,no
bookkeeper,"State state()",master,3,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,no
bookkeeper,"boolean initialized()",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"boolean started()",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"boolean stopped()",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"boolean closed()",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,no
bookkeeper,"boolean stoppedOrClosed()",master,4,3,1,0,2,2,3,4,4.0,7.0,14.0,2.0,28.0,0,0,0,0,0,no
bookkeeper,"boolean canMoveToStarted()",master,13,12,4,3,2,6,5,12,8.0,17.0,51.0,2.0,102.0,1,0,0,0,0,no
bookkeeper,"boolean moveToStarted()",master,14,13,4,3,3,7,6,14,10.0,20.0,66.43856189774725,3.0,199.31568569324173,1,0,0,0,0,no
bookkeeper,"boolean canMoveToStopped()",master,13,12,4,3,2,7,5,13,9.0,18.0,57.058650025961626,1.8571428571428572,105.96606433392874,1,0,0,0,0,no
bookkeeper,"boolean moveToStopped()",master,14,13,4,3,3,7,6,15,10.0,21.0,69.76048999263462,3.2142857142857144,224.230146404897,1,0,0,0,0,no
bookkeeper,"boolean canMoveToClosed()",master,10,9,3,2,1,6,2,8,7.0,10.0,28.07354922057604,0.6666666666666666,18.715699480384025,1,0,0,0,0,no
bookkeeper,"boolean moveToClosed()",master,11,10,3,2,2,6,3,10,8.0,13.0,39.0,1.6666666666666667,65.0,1,0,0,0,0,no
